,user_id,creation_date,last_access_date,reputation,location
0,20816,1222127744,1485595009,12713,Netherlands
1,26123,1223469204,1443528669,12702,Bratislava Slovakia
2,21966,1222307729,1486070842,12701,Melbourne Victoria Australia
3,51577,1231147330,1486134191,12701,United Kingdom
4,11545,1221555840,1486142959,12699,Bucharest Romania
5,4092,1220293858,1486122671,12696,United Kingdom
6,51176,1230999977,1486078351,12692,no_location
7,95,1217615304,1486122845,12690,Poland
8,16616,1221678338,1485773516,12688,no_location
9,17651,1221743444,1486071968,12685,no_location
10,31520,1224979947,1486091496,12684,Richmond VA United States
11,7748,1221488411,1486032591,12668,Israel
12,54187,1231771424,1485382384,12667,Lima Peru
13,196874,1223045987,1477602684,12667,Vancouver Canada
14,31765,1225106659,1485961277,12665,no_location
15,510,1218028758,1485736746,12659,Overland Park Kansas United States
16,3421,1219933539,1485661120,12657,Flagstaff AZ
17,27805,1223982100,1304536910,12650,no_location
18,50890,1230902493,1486139769,12650,Vienna Austria
19,27678,1223946656,1486143340,12645,Ohio
20,341,1217878588,1486130930,12635,Paris France
21,10527,1221522226,1486095395,12634,Edmonton Canada
22,18846,1221831514,1486056090,12633,Columbus OH
23,39057,1227120366,1387381429,12625,Reno NV
24,5049,1220799803,1485903337,12619,Poznan Poland
25,49489,1230458439,1486116571,12613,Netherlands
26,7376,1221485889,1486132277,12609,Dover NH
27,39648,1227268101,1486140947,12604,India
28,712,1218177591,1485901544,12600,San Francisco CA
29,276093,1233233459,1486132254,12588,Bristol United Kingdom
30,3853,1220182510,1486074627,12583,Reading United Kingdom
31,49879,1230567139,1486132714,12583,Gothenburg Sweden
32,6277,1221315102,1486019072,12579,Melbourne Australia
33,3,1217514151,1486140202,12556,Johnson City TN United States
34,23963,1222812902,1486127918,12547,Melbourne Australia
35,580,1218061828,1359573855,12522,Arizona
36,31345,1224888668,1486054916,12511,Slovenia
37,34502,1225844342,1486077140,12510,Utah
38,24257,1222885719,1486067361,12509,Baltimore MD
39,54259,1231782026,1485962180,12500,Minneapolis MN
40,49407,1230408745,1485877288,12495,Aachener Stra&#223;e K&#246;ln Deutschland
41,19937,1222001096,1486131853,12492,no_location
42,3527,1219966551,1486141350,12490,New York NY
43,43792,1228509992,1485893177,12480,no_location
44,31505,1220227200,1485861407,12475,Istanbul Turkey
45,2733,1219604362,1485997795,12468,Austin TX
46,28006,1224015903,1486140024,12463,United States
47,31444,1224946628,1486116388,12458,Yuba City CA United States
48,8152,1221491810,1486140782,12454,West Lothian Scotland
49,12502,1221575717,1486077048,12449,Chicago IL
50,32775,1225377527,1486086274,12444,Portugal
51,22471,1222386051,1368208323,12437,no_location
52,40851,1227654975,1486142448,12430,Stroud United Kingdom
53,8919,1221498820,1486105066,12418,Berkeley CA
54,1600,1218980807,1486122742,12414,Bremen Germany
55,17360,1221723348,1486136149,12408,no_location
56,30700,1224750236,1480943165,12407,Delft The Netherlands
57,2298,1219329108,1486019000,12405,Blacksburg VA
58,40015,1227410117,1486068630,12390,Columbus OH
59,4737,1220616218,1482812334,12377,Kim CO
60,52745,1231382922,1486097951,12372,Melbourne Australia
61,37298,1226568801,1485962818,12364,Norway
62,23915,1222805330,1486078019,12363,Indianapolis IN
63,8799,1221497664,1486133643,12358,Melbourne Victoria Australia
64,11574,1221556413,1475683194,12355,no_location
65,2973,1219742933,1485961487,12332,Stockholm Sweden
66,48692,1230051414,1485100373,12330,Bloomfield NJ
67,16827,1221685839,1486127341,12329,Rome Italy
68,7756,1221488500,1485888916,12324,Raleigh NC
69,42707,1228277473,1486137153,12321,New York NY United States
70,8976,1221499374,1485465144,12318,Munich Germany
71,2603665,1227857668,1486124167,12317,Stuttgart Germany
72,56092,1232158659,1485852938,12313,Port Fairy Australia
73,1954,1219158968,1486137301,12310,Kirkland WA United States
74,45955,1229168298,1486124410,12302,Brighton United Kingdom
75,20520,1221865502,1486049680,12282,Athens Greece
76,42223,1228159222,1486131647,12277,Earth TX
77,54200,1231772568,1486142928,12277,no_location
78,3263,1219851189,1484592067,12276,Cluj-Napoca Romania
79,7021,1221483694,1486126551,12276,Flensburg Germany
80,24894,1223048985,1486024950,12256,Moscow Russia
81,12631,1221577340,1486135741,12255,Europe
82,10007,1221511701,1333506908,12241,La Crosse WI
83,4636,1220568257,1485226910,12229,United States
84,16623,1221678625,1482416244,12226,Las Vegas NV
85,6146,1221236395,1403051315,12225,Minneapolis MN
86,4228,1220361165,1486038044,12221,no_location
87,44683,1228844200,1486131881,12218,Boston MA
88,34102,1225800074,1486108908,12210,no_location
89,13322,1221589120,1486075794,12205,Houston TX
90,23341,1222663319,1485943681,12201,Sydney Australia
91,6266,1221310296,1486116798,12200,United Kingdom
92,15862,1221657274,1486122376,12172,Warsaw Poland
93,44639,1228838663,1486133516,12169,Sweden
94,91385,1227293817,1283886925,12168,United States
95,49793,1230546931,1486121769,12167,Germany
96,16414,1221670887,1486045526,12148,United States
97,60531,1233305282,1486140940,12143,Italy
98,1354,1218735752,1485457420,12139,Vancouver Canada
99,8741,1221497176,1486135297,12131,South Africa
100,51571,1231146748,1484161358,888,no_location
101,459417,1224698570,1486128561,888,Sweden
102,1609611,1230228385,1349026633,888,Cupertino CA
103,16023,1221660586,1449830008,887,Norway
104,18561,1221803866,1483322129,887,no_location
105,35281,1226009466,1247681261,886,no_location
106,45162,1228948717,1485983733,886,no_location
107,52130,1231264631,1394836882,886,no_location
108,8224,1221492485,1479483941,885,Huntsville Canada
109,22637,1222427115,1441781068,885,Pristina Serbia
110,40593,1227612169,1485496658,885,Adelaide Australia
111,58410,1232739299,1486137267,885,Spokane WA
112,4718,1220612191,1486120320,884,Bangalore Karnataka India
113,5233,1220891113,1428618958,884,Shelby Twp MI
114,11503,1221554451,1390560679,884,United Kingdom
115,13562,1221594769,1486147535,884,Seattle
116,14093,1221602253,1476295807,884,no_location
117,14819,1221620807,1486083404,884,Australia
118,20954,1222156430,1486042950,884,Erlangen Germany
119,21684,1222264836,1307966937,884,Delaware
120,30826,1224773015,1486008408,884,United States
121,32283,1225262242,1466673560,884,Selangor Malaysia
122,33167,1225475986,1392127757,884,Leeds United Kingdom
123,43354,1228422112,1485731987,884,no_location
124,391,1217939235,1479228537,883,Luxembourg
125,18005,1221759499,1485981788,883,United States
126,22201,1222353252,1306814017,883,no_location
127,28789,1224205480,1484883479,883,Seattle WA
128,32944,1225409779,1366154961,883,no_location
129,44401,1228768725,1479230230,883,United States
130,53244,1231488940,1480420799,883,Sofia Bulgaria
131,1088682,1227701845,1482362599,883,no_location
132,2762,1219618323,1485962684,882,United States
133,4437,1220470319,1486139297,882,Saginaw MI
134,16997,1221695531,1462486646,882,Lowell MA
135,20818,1222128004,1486103059,882,Redmond WA
136,52969,1231429545,1475223568,882,United Kingdom
137,18703,1221818019,1486047517,881,Netherlands
138,19470,1221881297,1486013381,881,127.0.0.1
139,20526,1222097534,1485899591,881,Toronto Canada
140,40444,1227569875,1486080307,881,United States
141,47532,1229631115,1371134638,881,no_location
142,55503,1232037291,1486142415,881,Dublin Ireland
143,57175,1232471636,1243884834,881,Indiana
144,57217,1232478581,1486141125,881,Hamburg Germany
145,58433,1232743641,1264199893,881,United Kingdom
146,12722,1221578739,1485218785,880,London United Kingdom
147,19088,1221844170,1467313299,880,San Francisco Bay Area
148,19621,1221918302,1485984215,880,New York United States
149,54808,1231886925,1486134577,880,Sweden
150,15673,1221651887,1484931527,879,Los Angeles CA
151,18800,1221827329,1382024545,879,Canada
152,39962,1227382701,1486138979,879,Israel
153,6871,1221482697,1466602415,878,Estonia
154,30404,1224688078,1485941972,878,Oslo Norway
155,36975,1226506547,1486129937,878,Norway
156,41110,1227721892,1483576739,878,St Louis MO
157,1469605,1221512640,1486069277,878,Tallmadge OH
158,2531,1219425454,1481849111,877,Eddington Maine
159,4080,1220290250,1485974118,877,United States
160,43866,1228527298,1481222232,877,Charlotte NC
161,49663,1230505557,1486131837,877,Rochester NY
162,58864,1232916915,1451565623,877,Delft Netherlands
163,6969,1221483332,1486137814,876,United Kingdom
164,16625,1221678694,1486140822,876,Ankeny Iowa United States
165,55650,1232059149,1453142043,876,Europe
166,888,1218354654,1485809085,875,Cambridge England United Kingdom
167,2763,1219619165,1345835775,875,no_location
168,7567,1221487116,1486144229,875,Sunrise FL United States
169,11470,1221552985,1484608194,875,Sheffield United Kingdom
170,12437,1221574916,1485087138,875,Zagreb Croatia
171,17112,1221703281,1485205676,875,Canada
172,37382,1226592018,1397749682,875,no_location
173,57855,1232622183,1486095134,875,Denmark
174,2130585,1227104704,1486080545,875,United States
175,3935,1220228497,1486147804,874,Canada
176,15277,1221638072,1485372863,874,South Africa
177,39639,1227265873,1473425270,874,Munich Germany
178,41174,1227735951,1486143586,874,no_location
179,48778,1230074292,1462450190,874,no_location
180,48796,1230079145,1486080283,874,United States
181,36086,1226292677,1421385407,873,no_location
182,46555,1229409952,1486060520,873,Ann Arbor MI
183,53687,1231595990,1443965775,873,New York NY
184,57024,1232446719,1485417456,873,India
185,397314,1221716415,1378020885,873,no_location
186,2399475,1221314727,1461249413,873,Pittsburgh PA
187,2310,1219331715,1481671154,872,Lafayette IN
188,2779,1219632335,1413861706,872,Toledo OH
189,4210,1220352564,1481005523,872,Alkmaar The Netherlands
190,19467,1221880840,1412297469,872,no_location
191,23857,1222795725,1486126275,872,no_location
192,26400,1223537359,1482489958,872,Istanbul Turkey
193,31760,1225105722,1486042103,872,no_location
194,35407,1226048735,1381993229,872,Germany
195,44534,1228811523,1485784092,872,Sydney Australia
196,44808,1228868666,1229737570,872,no_location
197,45364,1229006695,1486053904,872,Catasauqua PA
198,56872,1232404788,1486015349,872,no_location
199,58304,1232720803,1486144662,872,Troy MI
200,49508,1230467752,1486105778,982,Sydney Australia
201,1281,1218712791,1464081354,981,Exeter United Kingdom
202,4901,1220709476,1486137741,981,United States
203,8437,1221494515,1292234560,981,United Kingdom
204,18638,1221812154,1457327364,981,no_location
205,26898,1223657276,1417628914,981,United States
206,30455,1224697069,1486104058,981,Virginia
207,46257,1229315600,1393352037,981,no_location
208,46503,1229388230,1485981828,981,no_location
209,18073,1221762239,1486127440,980,Portugal
210,24334,1222904247,1485816229,980,no_location
211,36081,1226289982,1481647144,980,Nashville TN
212,44740,1228855221,1486135339,980,Stockholm Sweden
213,55201,1231969638,1408541325,980,Dallas TX
214,59568,1233097862,1376948689,980,California
215,2245,1219308147,1486010202,979,Melbourne Australia
216,11460,1221552699,1485994702,979,United States
217,14463,1221610246,1483934624,979,MN
218,25882,1223398593,1486071810,979,Oxford PA United States
219,34440,1225834820,1486062227,979,United States
220,43219,1228400238,1439351923,979,Minnesota
221,52843,1231407979,1483566451,979,London United Kingdom
222,2386199,1221577172,1484931708,979,United Kingdom
223,4208,1220352100,1236269903,978,Sweden
224,7129,1221484414,1486139342,978,no_location
225,13668,1221596826,1330192373,978,Chicago IL
226,16201,1221664942,1234386667,978,California
227,37601,1226652895,1486115833,978,Turkey
228,8669,1221496446,1485532509,977,Brazil
229,13264,1221587826,1486098278,977,Grand Rapids MI
230,22079,1222336757,1486045821,977,Lausanne Switzerland
231,49469,1230448200,1436418855,977,Australia
232,53143,1231457447,1485903638,977,no_location
233,4384,1220442332,1340822756,976,Brazil
234,24938,1223057489,1485898844,976,Minsk Belarus
235,272420,1220551140,1486095456,976,Columbus OH
236,16838,1221686394,1486144660,975,Oakland CA United States
237,33786,1225750184,1485229645,975,Seattle WA United States
238,174644,1229810645,1352025007,975,Dnipropetrovsk Ukraine
239,315,1217864006,1482152792,974,United Kingdom
240,2626,1219515842,1486132028,974,United States
241,18320,1221776769,1224255998,974,no_location
242,26244,1223491372,1382472130,974,Austin TX
243,36609,1226417289,1484706535,974,United States
244,42852,1228316469,1485204985,974,Texas
245,48251,1229917277,1486086756,974,San Francisco CA
246,2045,1219189805,1372681260,973,Sydney Australia
247,24065,1222855080,1485968109,973,Tirana Albania
248,3459,1219940819,1476794380,972,no_location
249,8871,1221498331,1482553286,972,no_location
250,14829,1221621206,1486083423,972,Hong Kong Hong Kong
251,16320,1221667889,1459883437,972,no_location
252,20476,1222093585,1483921592,972,no_location
253,28486,1224140464,1486104907,972,San Francisco CA
254,8659,1221496391,1485827486,971,Somerville MA
255,26066,1223455677,1484000258,971,Netherlands
256,26074,1223457552,1486143708,971,no_location
257,139713,1224630444,1485987027,971,no_location
258,3596,1220000079,1476843147,970,Los Angeles CA
259,14591,1221614536,1486089148,970,Maryland
260,29833,1224555052,1485644942,970,United States
261,42228,1228160583,1262101846,970,no_location
262,48814,1230089484,1323247508,970,no_location
263,50737,1230840054,1462397138,970,Russia
264,2606,1219501743,1486080812,969,United States
265,6027,1221181031,1485561374,969,United States
266,14355,1221607360,1356121672,969,no_location
